DATE,PSAVERT,CSI
1/1/1978,11.9,83.7
2/1/1978,11.1,84.3
3/1/1978,11,78.8
4/1/1978,10.8,81.6
5/1/1978,10.3,82.9
6/1/1978,10,80
7/1/1978,10.9,82.4
8/1/1978,10.5,78.4
9/1/1978,10.6,80.4
10/1/1978,10.7,79.3
11/1/1978,10.5,75
12/1/1978,10.4,66.1
1/1/1979,11.1,72.1
2/1/1979,11.1,73.9
3/1/1979,11.2,68.4
4/1/1979,11,66
5/1/1979,10.3,68.1
6/1/1979,9.9,65.8
7/1/1979,10.6,60.4
8/1/1979,9.7,64.5
9/1/1979,9.4,66.7
10/1/1979,9.7,62.1
11/1/1979,9.7,63.3
12/1/1979,10.1,61
1/1/1980,9.9,67
2/1/1980,10.1,66.9
3/1/1980,10.2,56.5
4/1/1980,11.3,52.7
5/1/1980,11.4,51.7
6/1/1980,11.2,58.7
7/1/1980,11.3,62.3
8/1/1980,11.3,67.3
9/1/1980,11.7,73.7
10/1/1980,11.3,75
11/1/1980,11.6,76.7
12/1/1980,11.4,64.5
1/1/1981,10.9,71.4
2/1/1981,10.8,66.9
3/1/1981,10.8,66.5
4/1/1981,10.9,72.4
5/1/1981,11,76.3
6/1/1981,10.8,73.1
7/1/1981,12.3,74.1
8/1/1981,12,77.2
9/1/1981,12.4,73.1
10/1/1981,13,70.3
11/1/1981,13.2,62.5
12/1/1981,12.5,64.3
1/1/1982,12.7,71
2/1/1982,12.1,66.5
3/1/1982,12.2,62
4/1/1982,12.9,65.5
5/1/1982,12.3,67.5
6/1/1982,12.3,65.7
7/1/1982,12.5,65.4
8/1/1982,12.6,65.4
9/1/1982,11.8,69.3
10/1/1982,11.3,73.4
11/1/1982,10.9,72.1
12/1/1982,10.9,71.9
1/1/1983,11.1,70.4
2/1/1983,11.1,74.6
3/1/1983,10.6,80.8
4/1/1983,10.3,89.1
5/1/1983,9.9,93.3
6/1/1983,9.1,92.2
7/1/1983,9.6,92.8
8/1/1983,9.2,90.9
9/1/1983,9.6,89.9
10/1/1983,9.7,89.3
11/1/1983,10.3,91.1
12/1/1983,10.1,94.2
1/1/1984,10,100.1
2/1/1984,11.7,97.4
3/1/1984,11.5,101
4/1/1984,11.5,96.1
5/1/1984,11.1,98.1
6/1/1984,11.1,95.5
7/1/1984,11.6,96.6
8/1/1984,11.8,99.1
9/1/1984,11.8,100.9
10/1/1984,11.7,96.3
11/1/1984,10.9,95.7
12/1/1984,11.2,92.9
1/1/1985,10.3,96
